1.8970,0,1459,583,Began
1.8999,0,1459,583,Moved
1.9020,0,1459,583,Moved
1.9039,0,1459,583,Moved
1.9057,0,1459,583,Moved
1.9077,0,1459,583,Moved
1.9096,0,1459,583,Moved
1.9113,0,1459,583,Moved
1.9132,0,1459,583,Moved
1.9212,0,1459,583,Moved
1.9237,0,1459,583,Moved
1.9256,0,1459,583,Moved
1.9274,0,1459,583,Moved
1.9294,0,1459,583,Moved
1.9313,0,1459,583,Moved
1.9332,0,1459,583,Moved
1.9353,0,1459,583,Moved
1.9372,0,1459,583,Moved
1.9390,0,1459,583,Moved
1.9409,0,1459,583,Moved
1.9427,0,1459,583,Moved
1.9445,0,1459,583,Moved
1.9464,0,1459,583,Moved
1.9483,0,1459,583,Moved
1.9501,0,1459,583,Moved
1.9519,0,1459,583,Moved
1.9539,0,1459,583,Moved
1.9557,0,1459,583,Moved
1.9576,0,1459,583,Moved
1.9594,0,1459,583,Moved
1.9612,0,1459,583,Moved
1.9631,0,1459,583,Moved
1.9649,0,1459,583,Moved
1.9670,0,1459,583,Moved
1.9690,0,1459,583,Moved
1.9716,0,1459,583,Moved
1.9745,0,1459,583,Moved
1.9764,0,1459,583,Moved
1.9783,0,1459,583,Moved
1.9800,0,1459,583,Moved
1.9819,0,1459,583,Moved
1.9837,0,1459,583,Moved
1.9857,0,1459,583,Moved
1.9876,0,1459,583,Moved
1.9895,0,1459,583,Moved
1.9914,0,1459,583,Moved
1.9934,0,1459,583,Moved
1.9953,0,1459,583,Moved
1.9971,0,1459,583,Moved
1.9990,0,1459,583,Moved
2.0010,0,1459,583,Moved
2.0027,0,1459,583,Moved
2.0047,0,1459,583,Moved
2.0067,0,1459,583,Moved
2.0086,0,1459,583,Moved
2.0104,0,1459,583,Moved
2.0123,0,1459,583,Moved
2.0144,0,1459,583,Moved
2.0162,0,1459,583,Moved
2.0180,0,1459,583,Moved
2.0199,0,1459,583,Moved
2.0241,0,1459,583,Ended
2.2744,KEY,1
3.0406,0,1583,724,Began
3.0428,0,1583,724,Moved
3.0450,0,1583,724,Moved
3.0470,0,1583,724,Moved
3.0490,0,1583,724,Moved
3.0510,0,1583,724,Moved
3.0531,0,1583,724,Moved
3.0568,0,1583,724,Moved
3.0589,0,1583,724,Moved
3.0608,0,1583,724,Moved
3.0627,0,1583,724,Moved
3.0646,0,1583,724,Moved
3.0664,0,1583,724,Moved
